,exit-0-train-loss,exit-1-train-loss,exit-2-train-loss,exit-3-train-loss,exit-4-train-loss,exit-0-train-accuracy,exit-1-train-accuracy,exit-2-train-accuracy,exit-3-train-accuracy,exit-4-train-accuracy,exit-0-test-loss,exit-1-test-loss,exit-2-test-loss,exit-3-test-loss,exit-4-test-loss,exit-0-test-accuracy,exit-1-test-accuracy,exit-2-test-accuracy,exit-3-test-accuracy,exit-4-test-accuracy
10,0.7628843885836448,0.6915497827886334,0.6799176761303624,0.6685820769519825,0.6442509286388934,0.7442313942151446,0.7687682807929802,0.7730744231394215,0.7763243418914527,0.7864803379915503,0.9307021484375,0.9048890380859375,0.8474011840820312,0.8338033447265625,0.8417448120117188,0.682,0.672,0.692,0.706,0.692
11,0.7044624177364316,0.6286160503458117,0.6109213297499594,0.5984494491641615,0.5696009058513771,0.7623496912577186,0.7877803054923627,0.7959051023724407,0.7985050373740656,0.8099610009749756,0.9290965576171875,0.896174560546875,0.8407933959960937,0.8385275268554687,0.8609988403320312,0.678,0.698,0.71,0.7,0.688
12,0.6566395776629022,0.5744680479667695,0.5550992542325114,0.5402546393859685,0.5096480772795133,0.7776243093922652,0.8071173220669483,0.8120734481637959,0.818329541761456,0.8277543061423465,0.8677605590820312,0.844942138671875,0.7830927124023438,0.7881996459960937,0.8079381103515625,0.692,0.708,0.728,0.73,0.732
13,0.6133619425627641,0.5273861988899496,0.5038063562571092,0.48278475350127964,0.4508711226311139,0.7959051023724407,0.8281605459863504,0.8338479038024049,0.8414852128696783,0.8513974650633734,0.9027647705078125,0.8893019409179688,0.841607421875,0.84871630859375,0.89358251953125,0.702,0.692,0.732,0.724,0.696
14,0.5588319001741753,0.46456489649770477,0.44003118366865046,0.4214130211930249,0.38553391023622846,0.8150796230094247,0.851559961000975,0.8570035749106273,0.863747156321092,0.8757718557036074,0.8557874755859375,0.7891581420898437,0.7569332275390624,0.7609933471679687,0.7813960571289063,0.706,0.71,0.744,0.744,0.728
15,0.5233241178247887,0.43136899177618215,0.39732470433356354,0.3761857918884059,0.34135742980937195,0.8316542086447839,0.862284692882678,0.8721969450763731,0.8817029574260643,0.8918589535261618,0.8752147216796875,0.842712646484375,0.82065966796875,0.836424560546875,0.8662366943359375,0.708,0.722,0.746,0.726,0.724
16,0.5007569390843354,0.4009982788760359,0.3587202952982816,0.3388831752594857,0.3012202984720304,0.8392102697432564,0.8740656483587911,0.8864153396165095,0.8941338966525837,0.906564835879103,0.8595140380859375,0.8244662475585938,0.78567138671875,0.7986878662109375,0.8241644897460938,0.69,0.73,0.748,0.742,0.712
17,0.48437384951606677,0.38256296400207185,0.3525584620394256,0.32611821880966646,0.2898335424304822,0.845628859278518,0.8780467988300292,0.887390315242119,0.8971400714982125,0.9081085472863178,0.864309814453125,0.8409921875,0.8040501098632813,0.82265771484375,0.8496031494140625,0.706,0.706,0.746,0.732,0.722
18,0.46212539449697354,0.3598383673220669,0.3215440732145759,0.2929183270662374,0.2568304627833523,0.8547286317842054,0.8885277868053298,0.9042898927526812,0.9126584335391615,0.924276893077673,0.8714439086914062,0.8305081787109375,0.7949229125976562,0.8068169555664062,0.8457808837890625,0.702,0.718,0.742,0.726,0.714
19,0.4671584046580476,0.3574127504722538,0.3176689457885623,0.292434865947199,0.2542183088489194,0.8488787780305492,0.8901527461813454,0.900633734156646,0.9108709782255444,0.919889502762431,0.8429384155273437,0.8011220703125,0.76377099609375,0.775509521484375,0.8074547729492187,0.714,0.708,0.758,0.728,0.718
